NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,EXT_SOURCE_2,EXT_SOURCE_3,AGE,ANCIENNITE,TARGET,PREDICTION
0,0,0,0,0,135000.0,675000.0,26901.0,0.7724135461262436,0.5495965024956946,59.0,23.0,0,0.007945778
0,0,0,0,2,130500.0,980838.0,54900.0,0.6921897074474279,0.7557400501752248,42.0,10.0,0,0.024995241
0,0,0,0,1,117000.0,665892.0,17694.0,0.1303659645148279,0.6769925032909132,36.0,8.0,0,0.0881417
0,0,1,0,1,157500.0,364896.0,29385.0,0.1228194492807074,0.5478104658520093,25.0,3.0,0,0.09365873
0,1,0,1,0,270000.0,360000.0,17446.5,0.6059338940049145,0.2020866016820394,23.0,2.0,1,0.10604442
0,1,1,1,1,90000.0,472500.0,35455.5,0.5587983781694915,0.6722428897082422,28.0,0.0,0,0.10824625
0,1,1,1,1,270000.0,439740.0,22581.0,0.7471892748756631,0.180887977767074,50.0,20.0,0,0.053680934
0,1,0,1,0,202500.0,1574532.0,62572.5,0.6945051078057702,0.6706517530862718,51.0,6.0,0,0.014149521
0,1,1,1,1,202500.0,521280.0,37201.5,0.6161615960703011,0.6075573001388961,25.0,5.0,0,0.074536614
0,1,0,1,2,157500.0,246357.0,29367.0,0.0352981300132981,0.6925590674998008,32.0,2.0,0,0.17750739
0,0,0,1,2,103500.0,288873.0,22950.0,0.03587903548639,0.5832379256761245,28.0,3.0,1,0.16400973
0,0,1,1,0,90000.0,795294.0,75640.5,0.5996772402487865,0.6577838002083306,43.0,1.0,1,0.031265255
0,1,0,1,0,180000.0,241618.5,25767.0,0.7806435636451096,0.4258928980051529,36.0,4.0,0,0.043061502
0,0,1,1,0,76500.0,808650.0,23773.5,0.6560339931796314,0.6894791426446275,47.0,18.0,1,0.015787072
0,1,1,0,0,360000.0,534204.0,54868.5,0.7326102037214859,0.6212263380626669,42.0,4.0,0,0.012018833
0,0,0,1,2,144000.0,149256.0,15421.5,0.0539559614548892,0.5673792367572691,27.0,5.0,1,0.13260746
0,1,0,1,0,540000.0,552555.0,28066.5,0.7504426912158406,0.5513812618027899,44.0,4.0,0,0.19942085
0,1,1,0,1,126000.0,675000.0,32472.0,0.2982079852112748,0.7503751495159068,32.0,2.0,0,0.10366348
0,1,0,1,0,171000.0,684657.0,25150.5,0.6442114754526893,0.6144143775673561,48.0,14.0,0,0.039512023
0,1,1,1,0,135000.0,251091.0,28458.0,0.5133707216332285,0.6161216908872079,52.0,6.0,0,0.06970251
0,0,1,1,0,126000.0,1759180.5,61276.5,0.0047918638595173,0.3328505641648731,41.0,0.0,0,0.057545032
0,1,1,1,1,315000.0,1255680.0,45234.0,0.423972086665794,0.445396241560834,46.0,12.0,0,0.09025966
0,1,1,0,0,193500.0,730017.0,33957.0,0.5359719363086052,0.4525335592581747,27.0,3.0,0,0.09271974
0,1,0,1,0,157500.0,348826.5,17095.5,0.7021748719056586,0.6092756673894402,23.0,3.0,0,0.04150742
0,0,0,0,0,144000.0,1078200.0,31522.5,0.7471397028906201,0.4276573700350293,50.0,0.0,0,0.084038556
0,0,0,1,0,135000.0,315000.0,25015.5,0.1841408665411892,0.2340151665320674,23.0,1.0,1,0.23978516
0,1,0,1,1,135000.0,558706.5,43236.0,0.3119146132943421,0.7623356180684377,38.0,5.0,0,0.16931902
0,1,1,0,0,540000.0,755190.0,36459.0,0.6561326763269343,0.4884551844437485,42.0,9.0,0,0.043323763
1,0,0,0,0,220500.0,225000.0,11250.0,0.7514242772953565,0.4471785780453068,53.0,15.0,0,0.006189789
0,0,1,0,0,225000.0,1687266.0,62527.5,0.2760337482586111,0.6058362647264226,48.0,4.0,0,0.010646216
0,1,1,1,1,360000.0,840996.0,29925.0,0.0881835058108449,0.7001838506835805,49.0,2.0,0,0.081011266
0,0,0,0,0,135000.0,1354500.0,50197.5,0.5984429478885238,0.7700870700124128,46.0,1.0,0,0.037532993
0,1,1,1,2,139500.0,855000.0,46512.0,0.2894288311296964,0.4400578303966329,35.0,1.0,1,0.12762816
1,1,0,1,0,90000.0,180000.0,9000.0,0.4732015318825578,0.5849900404894085,39.0,3.0,0,0.036716618
0,1,0,1,0,234000.0,814041.0,23931.0,0.474722658216272,0.6626377922738201,60.0,2.0,0,0.05306961
0,0,0,1,1,135000.0,646920.0,20997.0,0.6112626359925103,0.7838324335199619,49.0,15.0,0,0.018583601
0,1,1,1,0,180000.0,679500.0,27076.5,0.5318852257976189,0.6940926425266661,64.0,43.0,0,0.005333981
0,0,0,0,2,90000.0,327024.0,15372.0,0.7440953421619207,0.622922000268356,34.0,13.0,0,0.011706827
0,1,0,1,2,90000.0,568800.0,15642.0,0.4416366853413944,0.5797274227921155,37.0,1.0,0,0.052676708
0,1,1,0,2,157500.0,942300.0,30397.5,0.6228983467249344,0.3962195720630885,42.0,8.0,0,0.10275044
0,1,0,0,1,112500.0,450000.0,24543.0,0.2286749744786864,0.237916079507114,35.0,7.0,0,0.4199096
0,1,0,1,0,112500.0,288873.0,16713.0,0.3622583537626071,0.8027454758994178,39.0,13.0,0,0.02009499
0,0,1,1,0,157500.0,1546020.0,45328.5,0.4231979020786313,0.5154953751603267,38.0,7.0,0,0.061806254
0,1,0,0,1,270000.0,388512.0,35761.5,0.106605492933531,0.2498850627504553,44.0,5.0,1,0.24847955
0,1,0,0,1,202500.0,331632.0,35185.5,0.7386742758473583,0.7503751495159068,30.0,3.0,0,0.017803023
0,0,0,1,1,99000.0,247500.0,11668.5,0.6175983444130622,0.4436153084085652,34.0,7.0,0,0.039162133
0,0,0,1,0,180000.0,1236816.0,36162.0,0.6968615362900487,0.5867400085415683,27.0,2.0,1,0.0440407
0,0,0,1,0,112500.0,808650.0,26217.0,0.6179133282780278,0.4276573700350293,45.0,3.0,0,0.11390375
0,1,1,1,0,135000.0,511249.5,26230.5,0.5277342828085527,0.4014074137749511,47.0,2.0,0,0.14790198
0,0,0,0,1,135000.0,382500.0,25033.5,0.6413092206034641,0.1139223962922108,36.0,0.0,0,0.20823054
0,1,1,1,2,315000.0,942759.0,48267.0,0.1848317663289328,0.5638350489514956,35.0,3.0,1,0.060066976
0,0,0,0,1,315000.0,244998.0,12955.5,0.1375723778981894,0.6279908192952864,38.0,5.0,0,0.04974495
0,1,0,1,0,157500.0,450000.0,21109.5,0.2601989265727036,0.7091891096653581,31.0,11.0,0,0.068413444
0,0,0,1,2,157500.0,328405.5,17325.0,0.2302447134325938,0.511891801533151,39.0,3.0,0,0.14412181
1,1,1,1,0,112500.0,180000.0,9000.0,0.7734038048047455,0.8297501422395771,46.0,12.0,0,0.012873676
1,0,0,1,0,247500.0,675000.0,33750.0,0.6888906064101534,0.5028782772082183,57.0,6.0,0,0.010885162
0,0,0,0,0,315000.0,1527579.0,53095.5,0.6783061110461059,0.4014074137749511,35.0,4.0,0,0.048104204
0,1,1,1,1,360000.0,629325.0,43929.0,0.4752679804852136,0.6212263380626669,36.0,1.0,0,0.044182315
0,0,0,1,2,202500.0,499221.0,25618.5,0.5787795602553449,0.6006575372857061,43.0,6.0,0,0.043233298
0,0,0,0,0,180000.0,781920.0,47965.5,0.6448978383770547,0.3062022983135042,41.0,7.0,0,0.08267362
0,1,0,1,0,135000.0,229500.0,18261.0,0.4622158022483268,0.6848276586890367,29.0,2.0,0,0.14738314
0,1,0,1,0,180000.0,651960.0,27535.5,0.5035334392653383,0.5814837058057234,35.0,4.0,0,0.1071343
0,0,0,1,0,72000.0,101880.0,10566.0,0.3057858216780984,0.6940926425266661,40.0,2.0,0,0.029609
0,1,0,0,0,126000.0,446940.0,12289.5,0.596886488485853,0.4650692149562261,32.0,1.0,0,0.0898016
0,1,0,1,0,180000.0,355536.0,19417.5,0.5458872593285192,0.1852020815902493,29.0,8.0,0,0.18166319
0,0,0,0,0,112500.0,360000.0,23566.5,0.0668340690994922,0.1510075350878296,36.0,1.0,0,0.46800506
0,0,0,1,0,225000.0,1046142.0,33876.0,0.4106846997376142,0.3016248916841194,38.0,1.0,0,0.12569252
0,0,0,1,0,247500.0,1035000.0,30393.0,0.6429825603430621,0.5691487713619409,49.0,2.0,0,0.06492558
0,1,1,1,0,225000.0,640080.0,29970.0,0.6641928619669776,0.6690566947824041,38.0,15.0,0,0.035898242
0,1,1,1,1,171000.0,808650.0,26217.0,0.5446510251832719,0.5954562029091491,48.0,14.0,0,0.05616239
0,1,1,1,1,157500.0,1288350.0,37800.0,0.5430886812149415,0.646329897706246,39.0,1.0,0,0.055916104
0,0,0,1,0,157500.0,1862802.0,49270.5,0.7647833718548481,0.6512602186973006,57.0,8.0,0,0.012979809
0,0,1,1,0,225000.0,521280.0,27292.5,0.6447175378364653,0.2692857999073816,27.0,9.0,0,0.067318305
0,0,1,1,0,144000.0,729792.0,39721.5,0.1573313041327452,0.6690566947824041,41.0,23.0,0,0.06529
